,Date,Open,High,Low,Close,Adj Close,Volume
0,2007-05-23,15.72,15.8,15.67,15.71,15.71,11083800
1,2007-05-24,15.8,16.0,15.69,15.77,15.77,11736200
2,2007-05-25,15.73,15.8,15.71,15.75,15.75,9789600
3,2007-05-29,15.71,15.77,15.35,15.61,15.61,13399900
4,2007-05-30,15.44,15.49,15.28,15.43,15.43,11494000
5,2007-05-31,15.43,15.71,15.43,15.67,15.67,10652300
6,2007-06-01,15.67,15.71,15.64,15.69,15.69,9137100
7,2007-06-04,15.63,16.0,15.63,15.98,15.98,7711700
8,2007-06-05,15.99,16.02,15.81,15.91,15.91,20088000
9,2007-06-06,15.85,16.200001,15.83,16.09,16.09,9378700
10,2007-06-07,16.15,16.200001,15.88,15.97,15.97,9757800
11,2007-06-08,15.89,16.16,15.89,16.15,16.15,6657100
12,2007-06-11,16.09,16.24,16.040001,16.17,16.17,6545200
13,2007-06-12,16.18,16.18,16.01,16.049999,16.049999,7942400
14,2007-06-13,15.8,16.15,15.8,16.139999,16.139999,10309500
15,2007-06-14,16.16,16.540001,16.110001,16.49,16.49,10277700
16,2007-06-15,16.6,16.67,16.35,16.379998999999998,16.379998999999998,11652900
17,2007-06-18,16.440001000000002,16.469998999999998,16.309998999999998,16.35,16.35,4006600
18,2007-06-19,16.360001,16.360001,16.18,16.32,16.32,6574600
19,2007-06-20,16.43,16.450001,15.99,16.01,16.01,9072800
20,2007-06-21,15.99,16.049999,15.97,16.01,16.01,8768600
21,2007-06-22,16.049999,16.049999,15.7,15.78,15.78,13003400
22,2007-06-25,15.78,15.88,15.44,15.48,15.48,9580000
23,2007-06-26,15.57,15.66,15.42,15.47,15.47,6743800
24,2007-06-27,15.35,15.61,15.31,15.46,15.46,11143600
25,2007-06-28,15.42,15.55,15.35,15.5,15.5,6500800
26,2007-06-29,15.49,15.5,15.32,15.34,15.34,9551600
27,2007-07-02,15.43,15.48,15.29,15.48,15.48,8217600
28,2007-07-03,15.58,15.77,15.55,15.68,15.68,3524900
29,2007-07-05,15.59,15.65,15.43,15.57,15.57,6535500
30,2007-07-06,15.53,15.54,15.44,15.51,15.51,6165700
31,2007-07-09,15.48,15.82,15.48,15.72,15.72,8333600
32,2007-07-10,15.59,15.66,15.3,15.32,15.32,9040900
33,2007-07-11,15.26,15.5,15.26,15.47,15.47,5261800
34,2007-07-12,15.46,15.48,15.34,15.46,15.46,6736900
35,2007-07-13,15.4,15.51,15.36,15.41,15.41,6555000
36,2007-07-16,15.57,15.63,15.45,15.5,15.5,6024200
37,2007-07-17,15.41,15.49,15.26,15.38,15.38,6599800
38,2007-07-18,15.26,15.44,15.06,15.12,15.12,12254200
39,2007-07-19,15.25,15.25,15.09,15.17,15.17,13739000
40,2007-07-20,15.15,15.16,14.78,14.79,14.79,20740100
41,2007-07-23,14.75,14.79,14.49,14.7,14.7,13782800
42,2007-07-24,14.79,14.79,14.35,14.37,14.37,12082700
43,2007-07-25,14.44,14.49,14.05,14.07,14.07,17155100
44,2007-07-26,14.02,14.07,13.41,13.64,13.64,24089200
45,2007-07-27,13.58,13.7,13.36,13.36,13.36,20376600
46,2007-07-30,13.32,13.43,13.16,13.3,13.3,15904700
47,2007-07-31,13.3,13.33,13.08,13.15,13.15,21324600
48,2007-08-01,13.02,13.33,12.96,13.19,13.19,22824700
49,2007-08-02,13.11,13.55,13.11,13.43,13.43,18044000
50,2007-08-03,13.25,13.43,13.08,13.09,13.09,21499400
51,2007-08-06,13.13,13.15,12.83,12.91,12.91,33522200
52,2007-08-07,12.83,13.01,12.81,12.93,12.93,22143600
53,2007-08-08,12.95,13.24,12.88,13.2,13.2,16403800
54,2007-08-09,13.15,13.86,13.1,13.76,13.76,18135200
55,2007-08-10,13.65,13.76,12.91,13.08,13.08,12889100
56,2007-08-13,13.2,13.2,12.89,13.04,13.04,10083200
57,2007-08-14,12.99,13.13,12.96,13.03,13.03,7951300
58,2007-08-15,13.03,13.17,12.9,12.91,12.91,9448900
59,2007-08-16,12.83,12.95,12.49,12.74,12.74,12836000
60,2007-08-17,12.91,13.03,12.22,12.52,12.52,18231200
61,2007-08-20,12.4,12.46,12.15,12.23,12.23,13430500
62,2007-08-21,12.14,12.28,12.11,12.16,12.16,11576200
63,2007-08-22,12.23,12.49,12.2,12.47,12.47,13253000
64,2007-08-23,12.83,13.05,12.5,12.71,12.71,17893300
65,2007-08-24,12.69,12.7,12.57,12.69,12.69,11137500
66,2007-08-27,12.64,12.74,12.62,12.65,12.65,15114200
67,2007-08-28,12.57,12.65,12.56,12.57,12.57,16371100
68,2007-08-29,12.61,12.87,12.58,12.85,12.85,14103300
69,2007-08-30,12.71,12.84,12.64,12.69,12.69,8696800
70,2007-08-31,12.81,12.92,12.65,12.83,12.83,7590900
71,2007-09-04,13.11,13.37,13.01,13.2,13.2,12118800
72,2007-09-05,13.14,13.21,13.03,13.1,13.1,7788800
73,2007-09-06,13.01,13.31,13.0,13.23,13.23,5702800
74,2007-09-07,13.08,13.36,13.08,13.21,13.21,7444300
75,2007-09-10,13.18,13.3,13.13,13.17,13.17,5971400
76,2007-09-11,13.15,13.5,13.05,13.49,13.49,7047200
77,2007-09-12,13.43,13.49,13.05,13.14,13.14,35676700
78,2007-09-13,13.24,13.3,13.13,13.17,13.17,7618300
79,2007-09-14,13.1,13.52,13.06,13.5,13.5,9407100
80,2007-09-17,13.42,13.63,13.42,13.43,13.43,9676100
81,2007-09-18,13.41,13.56,13.34,13.51,13.51,9636400
82,2007-09-19,13.62,13.9,13.51,13.68,13.68,11137400
83,2007-09-20,13.64,13.89,13.63,13.7,13.7,8568600
84,2007-09-21,13.81,13.93,13.59,13.75,13.75,30647500
85,2007-09-24,13.8,14.15,13.65,14.11,14.11,14091400
86,2007-09-25,14.06,14.35,14.05,14.2,14.2,8463500
87,2007-09-26,14.25,14.3,14.07,14.2,14.2,6457900
88,2007-09-27,14.16,14.23,13.87,13.92,13.92,8519300
89,2007-09-28,13.91,14.09,13.86,13.95,13.95,5129400
90,2007-10-01,14.03,14.17,13.98,14.12,14.12,6953600
91,2007-10-02,14.14,14.15,13.79,13.88,13.88,7754000
92,2007-10-03,13.9,13.98,13.79,13.91,13.91,5483000
93,2007-10-04,14.0,14.08,13.87,13.92,13.92,5857800
94,2007-10-05,14.2,14.31,14.0,14.26,14.26,9503300
95,2007-10-08,14.2,14.34,14.17,14.19,14.19,4090800
96,2007-10-09,14.16,14.69,14.16,14.65,14.65,10982900
97,2007-10-10,14.6,14.78,14.53,14.64,14.64,7090200
98,2007-10-11,14.75,15.31,14.66,15.01,15.01,17695200
99,2007-10-12,14.99,15.21,14.95,15.02,15.02,14189500
100,2007-10-15,15.2,15.25,14.37,15.03,15.03,15917000
101,2007-10-16,14.94,15.19,14.27,14.3,14.3,11592500
102,2007-10-17,14.34,14.46,14.04,14.14,14.14,11068600
103,2007-10-18,14.16,14.23,13.85,13.85,13.85,9752600
104,2007-10-19,14.08,14.76,14.06,14.42,14.42,23855400
105,2007-10-22,14.29,14.42,13.91,14.3,14.3,15219600
106,2007-10-23,14.3,14.7,14.26,14.55,14.55,7043800
107,2007-10-24,14.25,14.4,13.86,14.04,14.04,8321400
108,2007-10-25,14.03,14.14,13.69,13.8,13.8,6578600
109,2007-10-26,13.85,13.88,13.68,13.76,13.76,4673200
110,2007-10-29,13.77,13.88,13.66,13.7,13.7,7589800
111,2007-10-30,13.66,14.02,13.65,13.93,13.93,11220400
112,2007-10-31,13.87,13.95,13.71,13.87,13.87,11439900
113,2007-11-01,13.8,13.87,13.27,13.3,13.3,12251500
114,2007-11-02,13.37,13.43,13.14,13.24,13.24,7582600
115,2007-11-05,13.05,13.31,13.02,13.2,13.2,7020600
116,2007-11-06,13.19,13.27,12.96,13.12,13.12,5468600
117,2007-11-07,12.93,13.08,12.51,12.52,12.52,10078100
118,2007-11-08,12.66,12.69,12.26,12.49,12.49,13420000
119,2007-11-09,12.41,12.78,12.36,12.66,12.66,10868400
120,2007-11-12,12.66,12.86,12.65,12.66,12.66,7474900
121,2007-11-13,12.61,12.95,12.51,12.94,12.94,9466900
122,2007-11-14,13.01,13.09,12.71,12.75,12.75,8711600
123,2007-11-15,12.67,12.91,12.45,12.53,12.53,6649000
124,2007-11-16,12.59,12.68,11.98,12.1,12.1,15703300
125,2007-11-19,12.0,12.37,12.0,12.21,12.21,10586600
126,2007-11-20,12.21,12.6,12.13,12.38,12.38,11905200
127,2007-11-21,12.25,12.64,12.25,12.42,12.42,10714700
128,2007-11-23,12.49,12.54,12.27,12.51,12.51,2863100
129,2007-11-26,12.54,12.6,12.21,12.24,12.24,5208900
130,2007-11-27,12.28,12.72,12.25,12.69,12.69,8951500
131,2007-11-28,12.66,12.76,12.28,12.73,12.73,19065700
132,2007-11-29,12.7,12.8,12.5,12.55,12.55,6995400
133,2007-11-30,12.68,12.73,12.29,12.63,12.63,9335000
134,2007-12-03,12.53,13.03,12.52,13.0,13.0,9895800
135,2007-12-04,12.9,12.95,12.6,12.63,12.63,8032600
136,2007-12-05,12.72,13.0,12.72,12.95,12.95,9353900
137,2007-12-06,12.95,13.0,12.82,12.99,12.99,10160400
138,2007-12-07,13.0,13.02,12.71,12.73,12.73,7051700
139,2007-12-10,12.79,13.08,12.7,13.04,13.04,8053200
140,2007-12-11,13.09,13.12,12.65,12.7,12.7,6610100
141,2007-12-12,12.96,12.97,12.42,12.63,12.63,9522800
142,2007-12-13,12.54,12.55,12.16,12.22,12.22,10266000
143,2007-12-14,12.25,12.39,11.93,11.95,11.95,9622900
144,2007-12-17,11.92,11.92,11.45,11.47,11.47,15202300
145,2007-12-18,11.53,11.77,11.27,11.67,11.67,24360500
146,2007-12-19,11.65,11.75,11.44,11.51,11.51,8008800
147,2007-12-20,11.6,11.71,11.42,11.59,11.59,7131600
148,2007-12-21,11.69,11.91,11.64,11.83,11.83,14844400
149,2007-12-24,11.8,11.83,11.36,11.47,11.47,3832800
150,2007-12-26,11.38,11.93,11.37,11.86,11.86,8529400
151,2007-12-27,11.69,11.84,11.62,11.71,11.71,9886400
152,2007-12-28,11.7,11.81,11.61,11.72,11.72,7503700
153,2007-12-31,11.66,11.73,11.38,11.63,11.63,8992000
154,2008-01-02,11.65,11.85,11.35,11.41,11.41,7282100
155,2008-01-03,11.47,11.52,11.3,11.39,11.39,7131300
156,2008-01-04,11.28,11.39,11.13,11.31,11.31,9459400
157,2008-01-07,11.4,11.64,11.3,11.53,11.53,8261300
158,2008-01-08,11.56,11.56,10.96,10.98,10.98,9577300
159,2008-01-09,10.97,11.25,10.76,10.98,10.98,13319500
160,2008-01-10,10.92,11.79,10.84,11.7,11.7,15810800
161,2008-01-11,11.62,11.92,11.42,11.74,11.74,13578800
162,2008-01-14,11.75,11.98,11.73,11.93,11.93,10528600
163,2008-01-15,11.76,11.87,11.49,11.51,11.51,8960300
164,2008-01-16,11.71,12.26,11.67,12.05,12.05,13104900
165,2008-01-17,12.36,12.71,12.17,12.35,12.35,18613800
166,2008-01-18,12.41,12.68,12.08,12.13,12.13,18069200
167,2008-01-22,11.53,12.63,11.53,12.13,12.13,19932100
168,2008-01-23,11.8,12.21,11.5,12.09,12.09,15968000
169,2008-01-24,12.17,12.28,11.78,11.96,11.96,9997400
170,2008-01-25,12.05,12.1,11.76,11.84,11.84,9533200
171,2008-01-28,11.95,12.05,11.73,11.85,11.85,8928900
172,2008-01-29,11.95,12.05,11.88,11.96,11.96,9321800
173,2008-01-30,11.93,12.17,11.9,11.95,11.95,9951300
174,2008-01-31,11.91,12.29,11.8,12.15,12.15,12373000
175,2008-02-01,12.16,12.42,12.13,12.37,12.37,9179500
176,2008-02-04,12.43,13.05,12.43,12.85,12.85,21758100
177,2008-02-05,12.97,13.02,12.42,12.77,12.77,24436700
178,2008-02-06,12.88,12.94,12.56,12.63,12.63,12729600
179,2008-02-07,12.4,12.6,12.05,12.24,12.24,20642300
180,2008-02-08,12.1,12.47,12.1,12.33,12.33,8387500
181,2008-02-11,12.35,12.44,12.26,12.41,12.41,4338700
182,2008-02-12,12.5,12.65,12.33,12.52,12.52,10034000
183,2008-02-13,12.48,12.67,12.48,12.59,12.59,7116500
184,2008-02-14,12.58,12.72,12.54,12.57,12.57,7478000
185,2008-02-15,12.55,12.83,12.5,12.81,12.81,10387100
186,2008-02-19,13.0,13.0,12.71,12.75,12.75,5533300
187,2008-02-20,12.67,12.73,12.36,12.61,12.61,6074700
188,2008-02-21,12.68,12.69,12.39,12.43,12.43,8861600
189,2008-02-22,12.46,12.53,12.14,12.31,12.31,6465800
190,2008-02-25,12.58,13.13,12.44,13.05,13.05,11793000
191,2008-02-26,13.0,13.27,12.9,13.21,13.21,11648000
192,2008-02-27,13.16,13.17,12.98,13.0,13.0,5144700
193,2008-02-28,12.93,13.0,12.64,12.72,12.72,6284200
194,2008-02-29,12.63,12.73,12.44,12.59,12.59,7626300
195,2008-03-03,12.6,12.68,12.43,12.65,12.65,7098800
196,2008-03-04,12.53,12.79,12.52,12.75,12.75,6692400
197,2008-03-05,12.82,12.86,12.68,12.79,12.79,12625200
198,2008-03-06,12.74,12.79,12.58,12.68,12.68,17915900
199,2008-03-07,12.55,12.6,12.25,12.35,12.35,15046500
200,2008-03-10,12.34,12.49,12.24,12.33,12.33,9369600
201,2008-03-11,12.43,12.57,12.3,12.56,12.56,9814400
202,2008-03-12,12.59,13.08,12.56,12.75,12.75,9450500
203,2008-03-13,12.6,12.93,12.33,12.86,12.86,8299900
204,2008-03-14,12.93,12.98,12.3,12.63,12.63,11357000
205,2008-03-17,12.32,12.58,12.14,12.2,12.2,15298100
206,2008-03-18,12.45,12.68,12.2,12.6,12.6,13395400
207,2008-03-19,12.6,13.02,12.54,12.54,12.54,9217200
208,2008-03-20,12.6,12.69,12.36,12.43,12.43,16414000
209,2008-03-24,12.45,12.96,12.45,12.85,12.85,9179100
210,2008-03-25,12.83,13.09,12.82,12.97,12.97,13219500
211,2008-03-26,12.93,12.93,12.67,12.74,12.74,10654500
212,2008-03-27,12.84,13.04,12.73,12.83,12.83,13886600
213,2008-03-28,12.91,12.97,12.58,12.61,12.61,9448100
214,2008-03-31,12.58,12.95,12.52,12.87,12.87,14379900
215,2008-04-01,12.94,13.64,12.94,13.6,13.6,12840300
216,2008-04-02,13.58,13.89,13.54,13.59,13.59,8270600
217,2008-04-03,13.54,13.61,13.26,13.52,13.52,7535000
218,2008-04-04,13.46,14.22,13.42,14.11,14.11,13731100
219,2008-04-07,14.0,14.18,13.66,13.74,13.74,9892700
220,2008-04-08,13.76,13.88,13.44,13.63,13.63,12360500
221,2008-04-09,13.68,13.85,13.35,13.46,13.46,11049000
222,2008-04-10,13.51,13.55,13.22,13.27,13.27,7704500
223,2008-04-11,13.33,13.35,12.84,12.88,12.88,10222000
224,2008-04-14,12.9,13.03,12.73,12.76,12.76,7307700
225,2008-04-15,12.9,13.01,12.4,12.48,12.48,8400400
226,2008-04-16,12.61,12.77,12.47,12.58,12.58,12247400
227,2008-04-17,12.52,12.75,12.34,12.48,12.48,14003400
228,2008-04-18,12.67,12.81,12.47,12.65,12.65,8456900
229,2008-04-21,12.74,13.17,12.53,13.03,13.03,13118800
230,2008-04-22,13.46,13.46,12.72,12.9,12.9,14729600
231,2008-04-23,12.95,13.0,12.54,12.64,12.64,12340500
232,2008-04-24,12.67,12.7,12.45,12.6,12.6,8192400
233,2008-04-25,12.61,12.77,12.6,12.77,12.77,8439700
234,2008-04-28,12.7,13.04,12.7,12.94,12.94,10078100
235,2008-04-29,12.95,13.36,12.87,13.28,13.28,12097900
236,2008-04-30,13.28,13.63,13.21,13.33,13.33,10716600
237,2008-05-01,13.34,13.58,13.34,13.56,13.56,6065100
238,2008-05-02,13.49,13.6,13.39,13.42,13.42,5806200
239,2008-05-05,13.31,13.37,13.05,13.29,13.29,5254100
240,2008-05-06,13.16,13.77,13.16,13.73,13.73,9809700
241,2008-05-07,13.77,13.8,13.38,13.42,13.42,7574700
242,2008-05-08,13.55,13.8,13.55,13.68,13.68,7289400
243,2008-05-09,13.5,13.71,13.35,13.42,13.42,6859900
244,2008-05-12,13.43,13.53,13.27,13.41,13.41,5206600
245,2008-05-13,13.41,13.47,12.95,13.01,13.01,10858400
246,2008-05-14,13.1,13.43,13.01,13.29,13.29,6634700
247,2008-05-15,13.32,13.47,13.06,13.43,13.43,8793600
248,2008-05-16,13.48,13.5,13.27,13.4,13.4,5141400
249,2008-05-19,13.43,13.56,13.21,13.38,13.38,4864200
250,2008-05-20,13.34,13.7,13.26,13.55,13.55,9214500
251,2008-05-21,13.55,13.7,13.45,13.47,13.47,6229300
252,2008-05-22,13.52,13.61,13.42,13.5,13.5,4351600
253,2008-05-23,13.46,13.49,13.07,13.12,13.12,5465600
254,2008-05-27,13.15,13.51,13.03,13.44,13.44,8113000
255,2008-05-28,13.42,13.64,13.09,13.16,13.16,8603200
256,2008-05-29,13.11,13.34,13.11,13.27,13.27,7204700
257,2008-05-30,13.34,13.39,13.21,13.29,13.29,7872700
258,2008-06-02,13.25,13.31,12.94,13.11,13.11,6510100
259,2008-06-03,13.2,13.56,13.16,13.4,13.4,12073300
260,2008-06-04,13.39,13.56,13.15,13.51,13.51,13262000
261,2008-06-05,13.53,13.88,13.45,13.8,13.8,10131500
262,2008-06-06,13.65,13.68,13.39,13.49,13.49,9246400
