,Date,Open,High,Low,Close,Adj Close,Volume
0,2007-05-23,11.48,11.62,11.47,11.53,11.53,27561900
1,2007-05-24,11.72,12.05,11.57,11.81,11.81,50453600
2,2007-05-25,11.98,12.03,11.86,11.97,11.97,21384100
3,2007-05-29,12.18,12.19,11.75,11.96,11.96,25118300
4,2007-05-30,11.83,11.97,11.68,11.9,11.9,20715200
5,2007-05-31,11.92,12.24,11.78,12.18,12.18,32840200
6,2007-06-01,12.3,12.85,12.3,12.6,12.6,59330100
7,2007-06-04,12.47,12.75,12.39,12.57,12.57,20842300
8,2007-06-05,12.57,12.59,12.15,12.45,12.45,25717300
9,2007-06-06,12.33,12.39,12.13,12.24,12.24,27553700
10,2007-06-07,12.15,12.3,11.89,11.95,11.95,21255800
11,2007-06-08,12.02,12.38,11.91,12.35,12.35,20680600
12,2007-06-11,12.3,12.36,11.95,11.99,11.99,17021200
13,2007-06-12,11.94,12.14,11.73,11.96,11.96,26716100
14,2007-06-13,12.06,12.12,11.8,11.94,11.94,24108900
15,2007-06-14,12.14,12.42,12.1,12.23,12.23,24893200
16,2007-06-15,12.37,12.63,12.27,12.58,12.58,25310700
17,2007-06-18,12.65,12.65,12.44,12.55,12.55,13980000
18,2007-06-19,12.48,12.64,12.37,12.44,12.44,15303700
19,2007-06-20,12.72,13.08,12.7,12.72,12.72,31863000
20,2007-06-21,12.92,13.26,12.8,13.24,13.24,31585100
21,2007-06-22,13.12,13.23,12.81,12.83,12.83,22455400
22,2007-06-25,12.82,12.92,12.52,12.65,12.65,21185800
23,2007-06-26,12.71,12.71,12.32,12.45,12.45,23220100
24,2007-06-27,12.45,12.7,12.39,12.66,12.66,25811600
25,2007-06-28,12.82,12.9,12.37,12.41,12.41,32621200
26,2007-06-29,12.49,12.75,12.45,12.53,12.53,31815400
27,2007-07-02,12.7,12.7,12.34,12.48,12.48,17219600
28,2007-07-03,12.49,12.78,12.48,12.69,12.69,9731900
29,2007-07-05,12.8,12.87,12.71,12.8,12.8,15038700
30,2007-07-06,12.91,13.47,12.88,13.45,13.45,41295900
31,2007-07-09,13.36,13.47,13.3,13.42,13.42,30154900
32,2007-07-10,13.64,13.72,13.46,13.54,13.54,39775700
33,2007-07-11,13.7,13.88,13.55,13.84,13.84,44462500
34,2007-07-12,14.01,14.02,13.33,13.74,13.74,44091800
35,2007-07-13,13.9,13.9,13.64,13.74,13.74,18828400
36,2007-07-16,13.77,14.1,13.74,13.98,13.98,22799100
37,2007-07-17,13.94,14.2,13.8,13.85,13.85,21651000
38,2007-07-18,13.8,13.84,13.35,13.66,13.66,25117000
39,2007-07-19,13.8,13.84,13.47,13.6,13.6,14175300
40,2007-07-20,13.67,13.79,13.31,13.41,13.41,19045700
41,2007-07-23,13.43,13.81,13.35,13.44,13.44,24781600
42,2007-07-24,13.41,13.45,13.01,13.05,13.05,25329100
43,2007-07-25,13.13,13.22,12.94,13.08,13.08,20367600
44,2007-07-26,12.89,13.0,12.04,12.14,12.14,46792800
45,2007-07-27,12.14,12.24,11.74,11.87,11.87,28171500
46,2007-07-30,12.1,12.22,11.98,12.02,12.02,21427400
47,2007-07-31,12.19,12.33,11.84,11.87,11.87,36972500
48,2007-08-01,11.79,12.1,11.28,12.1,12.1,30313400
49,2007-08-02,12.09,12.1,11.71,11.82,11.82,25955700
50,2007-08-03,12.07,12.19,11.55,11.64,11.64,26380800
51,2007-08-06,11.83,11.83,11.4,11.63,11.63,19421200
52,2007-08-07,11.68,11.69,11.31,11.59,11.59,17784400
53,2007-08-08,11.68,12.09,11.51,12.07,12.07,24670700
54,2007-08-09,11.75,12.65,11.75,12.5,12.5,31544800
55,2007-08-10,12.21,12.56,11.75,12.21,12.21,35966400
56,2007-08-13,12.33,12.35,11.85,11.97,11.97,17803800
57,2007-08-14,11.95,11.98,11.52,11.52,11.52,15255000
58,2007-08-15,11.49,11.75,11.04,11.06,11.06,20547700
59,2007-08-16,10.94,11.05,10.3,10.6,10.6,35813100
60,2007-08-17,11.05,11.2,10.62,10.99,10.99,27635900
61,2007-08-20,10.99,11.25,10.86,10.98,10.98,24882300
62,2007-08-21,11.11,11.52,11.02,11.36,11.36,24815100
63,2007-08-22,11.49,11.49,11.31,11.45,11.45,16161900
64,2007-08-23,11.4,11.45,11.09,11.12,11.12,15480100
65,2007-08-24,11.01,11.07,10.76,11.02,11.02,20859400
66,2007-08-27,10.93,11.3,10.89,11.23,11.23,14788700
67,2007-08-28,11.15,11.18,10.91,11.0,11.0,14866600
68,2007-08-29,11.06,11.24,11.0,11.24,11.24,9117400
69,2007-08-30,11.07,11.54,11.04,11.21,11.21,16247200
70,2007-08-31,11.4,11.52,11.26,11.45,11.45,10567300
71,2007-09-04,11.5,11.72,11.37,11.6,11.6,11001000
72,2007-09-05,11.47,11.51,11.22,11.36,11.36,14431800
73,2007-09-06,11.37,11.58,11.27,11.5,11.5,15638100
74,2007-09-07,11.28,11.47,11.26,11.4,11.4,21166000
75,2007-09-10,11.59,11.77,11.39,11.64,11.64,18678200
76,2007-09-11,11.7,11.75,11.58,11.63,11.63,9814600
77,2007-09-12,11.52,11.58,11.25,11.25,11.25,16776500
78,2007-09-13,11.31,11.4,11.22,11.28,11.28,11524500
79,2007-09-14,11.2,11.21,10.88,11.0,11.0,15054600
80,2007-09-17,10.97,11.0,10.7,10.94,10.94,18546300
81,2007-09-18,10.97,11.18,10.82,11.17,11.17,16148500
82,2007-09-19,11.2,11.25,10.86,10.94,10.94,20089000
83,2007-09-20,10.89,10.99,10.68,10.78,10.78,17641300
84,2007-09-21,10.89,10.91,10.62,10.73,10.73,15086200
85,2007-09-24,10.71,10.78,10.48,10.54,10.54,15227500
86,2007-09-25,10.5,10.52,10.33,10.41,10.41,21791600
87,2007-09-26,10.47,10.95,10.43,10.75,10.75,21082700
88,2007-09-27,11.01,11.49,11.0,11.36,11.36,27824400
89,2007-09-28,11.31,11.35,11.06,11.1,11.1,16632200
90,2007-10-01,11.26,11.48,11.1,11.35,11.35,18165500
91,2007-10-02,11.54,11.92,11.35,11.79,11.79,30962200
92,2007-10-03,11.12,11.12,10.56,10.74,10.74,61559800
93,2007-10-04,10.84,10.9,10.53,10.61,10.61,28411200
94,2007-10-05,10.75,10.85,10.58,10.8,10.8,21611300
95,2007-10-08,10.78,10.79,10.65,10.75,10.75,8277700
96,2007-10-09,10.75,10.82,10.57,10.64,10.64,12627700
97,2007-10-10,10.68,10.77,10.62,10.71,10.71,13675800
98,2007-10-11,10.72,10.85,10.5,10.56,10.56,21551100
99,2007-10-12,10.58,10.66,10.43,10.49,10.49,15028200
100,2007-10-15,10.54,10.57,10.38,10.46,10.46,12355400
101,2007-10-16,10.43,10.62,10.38,10.43,10.43,15029800
102,2007-10-17,10.7,10.75,10.32,10.37,10.37,20861800
103,2007-10-18,10.35,10.57,10.26,10.53,10.53,14327600
104,2007-10-19,10.44,10.49,10.0,10.08,10.08,27261300
105,2007-10-22,10.0,10.19,9.95,9.99,9.99,17491500
106,2007-10-23,10.04,10.11,9.88,9.99,9.99,15191700
107,2007-10-24,9.91,9.95,9.55,9.78,9.78,25428800
108,2007-10-25,9.74,9.78,9.37,9.43,9.43,16747900
109,2007-10-26,9.69,9.99,9.5,9.76,9.76,27512100
110,2007-10-29,9.8,10.0,9.79,9.99,9.99,14046700
111,2007-10-30,9.88,10.49,9.84,10.35,10.35,32208000
112,2007-10-31,10.38,10.59,10.31,10.51,10.51,15387700
113,2007-11-01,10.47,10.62,10.27,10.32,10.32,18359800
114,2007-11-02,10.4,10.47,10.01,10.47,10.47,15314700
115,2007-11-05,10.28,10.36,10.0,10.14,10.14,15005500
116,2007-11-06,10.17,10.17,9.71,9.92,9.92,16591100
117,2007-11-07,9.71,9.8,9.47,9.49,9.49,17739300
118,2007-11-08,9.49,9.5,9.06,9.33,9.33,21731600
119,2007-11-09,9.25,9.85,9.11,9.64,9.64,17532500
120,2007-11-12,9.6,9.62,9.29,9.32,9.32,11578500
121,2007-11-13,9.55,9.55,9.28,9.42,9.42,9205700
122,2007-11-14,9.46,9.55,9.32,9.35,9.35,12133000
123,2007-11-15,9.33,9.44,9.18,9.24,9.24,11324000
124,2007-11-16,9.28,9.34,8.95,9.15,9.15,18074700
125,2007-11-19,9.05,9.19,8.83,8.84,8.84,15812300
126,2007-11-20,8.8,8.92,8.31,8.53,8.53,30920400
127,2007-11-21,8.45,8.45,7.9,8.08,8.08,27608000
128,2007-11-23,8.15,8.42,8.1,8.37,8.37,6028600
129,2007-11-26,8.39,8.4,8.02,8.02,8.02,15012300
130,2007-11-27,8.05,8.09,7.82,7.94,7.94,17218500
131,2007-11-28,8.06,8.49,7.95,8.46,8.46,19404200
132,2007-11-29,8.4,8.71,8.18,8.23,8.23,17582900
133,2007-11-30,8.4,8.48,8.27,8.32,8.32,21701000
134,2007-12-03,8.41,8.43,8.25,8.3,8.3,11841200
135,2007-12-04,8.24,8.76,8.24,8.6,8.6,20817400
136,2007-12-05,8.84,9.25,8.8,8.95,8.95,23979800
137,2007-12-06,8.97,9.29,8.96,9.26,9.26,16201000
138,2007-12-07,9.24,9.31,8.85,9.03,9.03,14671500
139,2007-12-10,8.85,9.0,8.73,8.98,8.98,11961000
140,2007-12-11,8.98,8.98,8.57,8.6,8.6,10146000
141,2007-12-12,8.8,8.88,8.57,8.65,8.65,12660000
142,2007-12-13,8.62,8.71,8.35,8.47,8.47,13173700
143,2007-12-14,8.36,8.53,8.34,8.37,8.37,9475000
144,2007-12-17,8.35,8.35,7.82,7.89,7.89,17771600
145,2007-12-18,7.98,7.99,7.72,7.8,7.8,12400600
146,2007-12-19,7.81,7.96,7.72,7.84,7.84,8431700
147,2007-12-20,7.92,7.95,7.7,7.92,7.92,11179700
148,2007-12-21,7.67,7.85,7.37,7.53,7.53,25088000
149,2007-12-24,7.48,7.61,7.46,7.55,7.55,6218200
150,2007-12-26,7.52,7.57,7.41,7.5,7.5,9667500
151,2007-12-27,7.45,7.52,7.32,7.36,7.36,9681900
152,2007-12-28,7.4,7.4,7.23,7.27,7.27,12113500
153,2007-12-31,7.21,7.3,7.11,7.25,7.25,11670600
154,2008-01-02,7.23,7.28,6.96,7.04,7.04,13230900
155,2008-01-03,7.06,7.07,6.78,6.95,6.95,13825400
156,2008-01-04,6.91,6.91,6.33,6.4,6.4,23464100
157,2008-01-07,6.53,6.54,6.17,6.39,6.39,20100200
158,2008-01-08,6.45,6.47,6.13,6.18,6.18,13277100
159,2008-01-09,6.15,6.29,5.98,6.2,6.2,23785400
160,2008-01-10,6.14,6.34,5.99,6.2,6.2,18902500
161,2008-01-11,6.16,6.34,6.07,6.09,6.09,19571600
162,2008-01-14,6.28,6.35,6.2,6.25,6.25,27574500
163,2008-01-15,6.13,6.13,5.61,5.75,5.75,28836800
164,2008-01-16,5.55,6.05,5.47,5.93,5.93,27986200
165,2008-01-17,6.3,6.35,6.05,6.06,6.06,30850200
166,2008-01-18,6.23,6.58,6.15,6.44,6.44,28987200
167,2008-01-22,5.96,6.39,5.96,6.29,6.29,24938000
168,2008-01-23,6.15,6.82,6.03,6.7,6.7,28025500
169,2008-01-24,6.8,7.03,6.65,6.99,6.99,27504700
170,2008-01-25,7.1,7.15,6.44,6.53,6.53,19189300
171,2008-01-28,6.54,6.62,6.17,6.6,6.6,28075100
172,2008-01-29,6.66,6.91,6.63,6.87,6.87,21370600
173,2008-01-30,6.98,7.22,6.82,6.96,6.96,26347700
174,2008-01-31,6.77,7.1,6.69,6.99,6.99,15211600
175,2008-02-01,7.12,7.89,7.1,7.81,7.81,32796400
176,2008-02-04,7.9,7.9,7.39,7.81,7.81,24902300
177,2008-02-05,7.73,8.02,7.43,7.84,7.84,35902600
178,2008-02-06,7.79,7.8,6.96,6.99,6.99,28641300
179,2008-02-07,6.84,7.36,6.8,7.12,7.12,31693400
180,2008-02-08,7.19,7.19,6.65,6.69,6.69,26062000
181,2008-02-11,6.78,6.91,6.49,6.83,6.83,14910100
182,2008-02-12,6.96,7.38,6.95,7.02,7.02,23564000
183,2008-02-13,7.12,7.41,7.1,7.39,7.39,19322200
184,2008-02-14,7.2,7.35,7.14,7.17,7.17,19009300
185,2008-02-15,7.21,7.28,7.06,7.13,7.13,10909500
186,2008-02-19,7.48,7.68,7.34,7.52,7.52,20467500
187,2008-02-20,7.45,7.91,7.42,7.81,7.81,15621900
188,2008-02-21,7.92,7.92,7.33,7.38,7.38,23941800
189,2008-02-22,7.4,7.56,7.23,7.54,7.54,12433100
190,2008-02-25,7.5,7.82,7.5,7.77,7.77,12593900
191,2008-02-26,7.68,7.82,7.51,7.72,7.72,14996100
192,2008-02-27,7.62,8.13,7.6,7.86,7.86,22596900
193,2008-02-28,7.82,7.89,7.53,7.57,7.57,12760800
194,2008-02-29,7.5,7.85,7.44,7.52,7.52,15546800
195,2008-03-03,7.5,7.67,7.08,7.17,7.17,18580800
196,2008-03-04,6.99,7.03,6.72,6.98,6.98,17175100
